duration,month,hour,day_of_week,user_type
4.7,3,15,Wednesday,Subscriber
12.02,3,15,Wednesday,Subscriber
10.53,3,15,Wednesday,Subscriber
10.78,3,15,Wednesday,Subscriber
40.58,3,15,Wednesday,Customer
14.42,3,15,Wednesday,Subscriber
12.95,3,15,Wednesday,Subscriber
8.0,3,15,Wednesday,Customer
10.92,3,15,Wednesday,Subscriber
16.37,3,15,Wednesday,Customer
18.35,3,15,Wednesday,Subscriber
9.97,3,14,Wednesday,Subscriber
5.98,3,14,Wednesday,Subscriber
5.63,3,14,Wednesday,Subscriber
3.32,3,14,Wednesday,Subscriber
14.95,3,14,Wednesday,Subscriber
19.15,3,14,Wednesday,Subscriber
5.6,3,13,Wednesday,Subscriber
50.6,3,13,Wednesday,Customer
10.65,3,13,Wednesday,Subscriber
5.28,3,13,Wednesday,Subscriber
20.53,3,13,Wednesday,Subscriber
12.18,3,13,Wednesday,Subscriber
4.82,3,13,Wednesday,Subscriber
15.32,3,13,Wednesday,Subscriber
7.27,3,13,Wednesday,Subscriber
5.68,3,13,Wednesday,Subscriber
13.23,3,13,Wednesday,Subscriber
10.57,3,13,Wednesday,Subscriber
4.52,3,13,Wednesday,Customer
7.57,3,12,Wednesday,Customer
16.88,3,12,Wednesday,Customer
22.92,3,12,Wednesday,Subscriber
3.42,3,12,Wednesday,Subscriber
21.67,3,12,Wednesday,Subscriber
3.45,3,12,Wednesday,Subscriber
6.6,3,12,Wednesday,Subscriber
6.6,3,12,Wednesday,Subscriber
19.4,3,12,Wednesday,Subscriber
4.22,3,11,Wednesday,Subscriber
28.38,3,11,Wednesday,Subscriber
22.57,3,11,Wednesday,Customer
38.23,3,10,Wednesday,Customer
3.65,3,10,Wednesday,Subscriber
1.5,3,9,Wednesday,Subscriber
7.32,3,9,Wednesday,Subscriber
2.57,3,9,Wednesday,Subscriber
9.03,3,9,Wednesday,Subscriber
18.58,3,9,Wednesday,Subscriber
12.67,3,9,Wednesday,Subscriber
5.33,3,9,Wednesday,Subscriber
5.03,3,9,Wednesday,Subscriber
11.55,3,8,Wednesday,Subscriber
8.67,3,8,Wednesday,Subscriber
5.6,3,8,Wednesday,Subscriber
11.7,3,8,Wednesday,Subscriber
5.3,3,8,Wednesday,Subscriber
13.63,3,8,Wednesday,Subscriber
3.38,3,8,Wednesday,Subscriber
7.52,3,8,Wednesday,Subscriber
7.4,3,8,Wednesday,Subscriber
9.7,3,8,Wednesday,Subscriber
2.38,3,8,Wednesday,Subscriber
5.25,3,8,Wednesday,Subscriber
4.38,3,8,Wednesday,Subscriber
4.17,3,8,Wednesday,Subscriber
10.2,3,8,Wednesday,Subscriber
10.32,3,8,Wednesday,Subscriber
9.15,3,8,Wednesday,Subscriber
10.42,3,8,Wednesday,Subscriber
33.6,3,8,Wednesday,Customer
25.87,3,8,Wednesday,Subscriber
4.63,3,8,Wednesday,Subscriber
7.82,3,8,Wednesday,Subscriber
2.0,3,8,Wednesday,Subscriber
4.58,3,7,Wednesday,Subscriber
6.87,3,7,Wednesday,Subscriber
5.02,3,7,Wednesday,Subscriber
5.88,3,7,Wednesday,Subscriber
13.45,3,7,Wednesday,Subscriber
2.2,3,7,Wednesday,Subscriber
3.53,3,7,Wednesday,Subscriber
9.15,3,7,Wednesday,Subscriber
16.5,3,7,Wednesday,Subscriber
2.42,3,7,Wednesday,Subscriber
16.83,3,7,Wednesday,Subscriber
5.73,3,7,Wednesday,Subscriber
6.57,3,7,Wednesday,Subscriber
2.47,3,7,Wednesday,Subscriber
11.7,3,7,Wednesday,Subscriber
17.93,3,7,Wednesday,Subscriber
8.5,3,7,Wednesday,Subscriber
8.57,3,7,Wednesday,Subscriber
9.02,3,7,Wednesday,Subscriber
9.93,3,7,Wednesday,Subscriber
4.37,3,6,Wednesday,Subscriber
6.97,3,6,Wednesday,Subscriber
9.78,3,6,Wednesday,Subscriber
24.22,3,6,Wednesday,Subscriber
4.6,3,6,Wednesday,Subscriber
6.35,3,6,Wednesday,Subscriber
17.13,3,6,Wednesday,Subscriber
4.45,3,6,Wednesday,Subscriber
15.07,3,6,Wednesday,Subscriber
6.73,3,6,Wednesday,Subscriber
21.37,3,6,Wednesday,Subscriber
9.53,3,5,Wednesday,Subscriber
9.2,3,4,Wednesday,Subscriber
14.83,3,0,Wednesday,Subscriber
3.42,3,22,Tuesday,Subscriber
10.08,3,22,Tuesday,Subscriber
8.38,3,22,Tuesday,Subscriber
2.6,3,22,Tuesday,Subscriber
4.07,3,21,Tuesday,Subscriber
2.73,3,21,Tuesday,Subscriber
3.87,3,21,Tuesday,Subscriber
3.1,3,20,Tuesday,Subscriber
13.78,3,20,Tuesday,Subscriber
23.58,3,20,Tuesday,Subscriber
5.67,3,20,Tuesday,Subscriber
16.18,3,20,Tuesday,Subscriber
12.23,3,20,Tuesday,Subscriber
12.63,3,20,Tuesday,Subscriber
4.58,3,19,Tuesday,Subscriber
6.63,3,19,Tuesday,Subscriber
32.67,3,19,Tuesday,Customer
10.2,3,19,Tuesday,Subscriber
5.2,3,19,Tuesday,Subscriber
11.47,3,19,Tuesday,Subscriber
9.87,3,19,Tuesday,Subscriber
23.83,3,19,Tuesday,Subscriber
26.07,3,19,Tuesday,Subscriber
6.95,3,19,Tuesday,Subscriber
13.75,3,19,Tuesday,Subscriber
6.6,3,18,Tuesday,Subscriber
8.03,3,18,Tuesday,Subscriber
4.6,3,18,Tuesday,Subscriber
12.27,3,18,Tuesday,Subscriber
14.23,3,18,Tuesday,Subscriber
10.75,3,18,Tuesday,Subscriber
14.62,3,18,Tuesday,Subscriber
2.07,3,18,Tuesday,Subscriber
52.75,3,18,Tuesday,Customer
1.02,3,18,Tuesday,Subscriber
6.73,3,18,Tuesday,Subscriber
6.43,3,18,Tuesday,Subscriber
14.6,3,18,Tuesday,Subscriber
10.72,3,18,Tuesday,Subscriber
12.32,3,17,Tuesday,Subscriber
16.77,3,17,Tuesday,Subscriber
17.28,3,17,Tuesday,Customer
44.72,3,17,Tuesday,Customer
6.48,3,17,Tuesday,Subscriber
12.13,3,17,Tuesday,Subscriber
8.92,3,17,Tuesday,Subscriber
17.47,3,17,Tuesday,Subscriber
5.18,3,17,Tuesday,Subscriber
23.25,3,17,Tuesday,Subscriber
7.98,3,17,Tuesday,Subscriber
6.23,3,17,Tuesday,Subscriber
6.13,3,17,Tuesday,Subscriber
7.62,3,17,Tuesday,Subscriber
9.48,3,17,Tuesday,Subscriber
11.33,3,17,Tuesday,Subscriber
9.58,3,17,Tuesday,Subscriber
20.4,3,17,Tuesday,Subscriber
22.43,3,17,Tuesday,Customer
14.98,3,17,Tuesday,Subscriber
2.03,3,16,Tuesday,Subscriber
5.02,3,16,Tuesday,Subscriber
14.77,3,16,Tuesday,Subscriber
11.0,3,16,Tuesday,Subscriber
22.95,3,16,Tuesday,Subscriber
8.23,3,16,Tuesday,Subscriber
4.57,3,16,Tuesday,Subscriber
7.87,3,16,Tuesday,Subscriber
10.0,3,16,Tuesday,Subscriber
5.4,3,16,Tuesday,Subscriber
16.0,3,16,Tuesday,Customer
7.62,3,16,Tuesday,Subscriber
8.83,3,16,Tuesday,Subscriber
5.7,3,16,Tuesday,Subscriber
12.72,3,16,Tuesday,Subscriber
18.05,3,15,Tuesday,Customer
19.33,3,15,Tuesday,Subscriber
26.13,3,15,Tuesday,Subscriber
9.15,3,15,Tuesday,Subscriber
4.83,3,15,Tuesday,Subscriber
27.62,3,15,Tuesday,Customer
23.98,3,15,Tuesday,Subscriber
10.32,3,15,Tuesday,Subscriber
14.8,3,15,Tuesday,Subscriber
5.97,3,15,Tuesday,Subscriber
7.12,3,15,Tuesday,Subscriber
2.75,3,14,Tuesday,Subscriber
10.8,3,14,Tuesday,Subscriber
7.43,3,14,Tuesday,Customer
11.48,3,14,Tuesday,Subscriber
26.37,3,14,Tuesday,Subscriber
4.78,3,14,Tuesday,Customer
6.4,3,14,Tuesday,Subscriber
18.4,3,14,Tuesday,Customer
7.87,3,14,Tuesday,Customer
2.8,3,13,Tuesday,Subscriber
1.4,3,13,Tuesday,Customer
3.82,3,13,Tuesday,Subscriber
24.88,3,13,Tuesday,Subscriber
16.55,3,13,Tuesday,Customer
11.1,3,12,Tuesday,Subscriber
16.47,3,12,Tuesday,Subscriber
5.42,3,12,Tuesday,Subscriber
2.77,3,12,Tuesday,Subscriber
3.67,3,12,Tuesday,Subscriber
32.2,3,12,Tuesday,Customer
14.42,3,12,Tuesday,Subscriber
9.65,3,12,Tuesday,Subscriber
4.5,3,11,Tuesday,Subscriber
2.82,3,11,Tuesday,Subscriber
11.48,3,11,Tuesday,Subscriber
18.85,3,11,Tuesday,Customer
15.75,3,11,Tuesday,Subscriber
11.63,3,11,Tuesday,Subscriber
15.8,3,11,Tuesday,Customer
27.55,3,10,Tuesday,Subscriber
7.83,3,10,Tuesday,Subscriber
14.33,3,10,Tuesday,Subscriber
9.0,3,10,Tuesday,Customer
24.38,3,9,Tuesday,Customer
9.93,3,9,Tuesday,Subscriber
4.08,3,9,Tuesday,Subscriber
4.95,3,8,Tuesday,Subscriber
10.38,3,8,Tuesday,Subscriber
10.23,3,8,Tuesday,Subscriber
10.3,3,8,Tuesday,Subscriber
9.83,3,8,Tuesday,Subscriber
18.25,3,8,Tuesday,Subscriber
9.38,3,8,Tuesday,Subscriber
5.83,3,8,Tuesday,Subscriber
21.15,3,8,Tuesday,Subscriber
10.18,3,8,Tuesday,Subscriber
13.77,3,8,Tuesday,Subscriber
7.57,3,8,Tuesday,Subscriber
15.67,3,8,Tuesday,Subscriber
5.7,3,8,Tuesday,Subscriber
3.45,3,8,Tuesday,Subscriber
24.73,3,8,Tuesday,Subscriber
16.42,3,8,Tuesday,Subscriber
9.68,3,7,Tuesday,Subscriber
7.48,3,7,Tuesday,Subscriber
12.83,3,7,Tuesday,Subscriber
15.85,3,7,Tuesday,Subscriber
9.4,3,7,Tuesday,Subscriber
4.58,3,7,Tuesday,Subscriber
3.12,3,7,Tuesday,Subscriber
4.98,3,7,Tuesday,Subscriber
4.48,3,7,Tuesday,Subscriber
10.28,3,6,Tuesday,Subscriber
2.38,3,6,Tuesday,Subscriber
6.12,3,6,Tuesday,Subscriber
10.58,3,6,Tuesday,Subscriber
19.15,3,6,Tuesday,Subscriber
17.15,3,6,Tuesday,Subscriber
30.1,3,6,Tuesday,Subscriber
19.47,3,6,Tuesday,Subscriber
11.93,3,6,Tuesday,Subscriber
5.67,3,23,Monday,Subscriber
3.93,3,22,Monday,Subscriber
12.88,3,21,Monday,Subscriber
1.77,3,21,Monday,Subscriber
18.83,3,20,Monday,Subscriber
8.25,3,20,Monday,Subscriber
4.13,3,20,Monday,Subscriber
16.73,3,19,Monday,Subscriber
4.02,3,19,Monday,Subscriber
7.53,3,19,Monday,Subscriber
4.75,3,19,Monday,Subscriber
2.77,3,19,Monday,Subscriber
2.87,3,19,Monday,Subscriber
14.0,3,19,Monday,Customer
7.68,3,19,Monday,Subscriber
19.2,3,18,Monday,Subscriber
5.9,3,18,Monday,Subscriber
5.9,3,18,Monday,Subscriber
20.75,3,18,Monday,Subscriber
8.72,3,18,Monday,Subscriber
3.23,3,18,Monday,Subscriber
12.58,3,18,Monday,Subscriber
8.63,3,18,Monday,Subscriber
9.02,3,18,Monday,Subscriber
7.8,3,17,Monday,Subscriber
3.2,3,17,Monday,Subscriber
7.32,3,17,Monday,Subscriber
7.33,3,17,Monday,Subscriber
8.17,3,17,Monday,Subscriber
19.0,3,17,Monday,Subscriber
8.58,3,17,Monday,Subscriber
4.63,3,17,Monday,Subscriber
8.95,3,17,Monday,Subscriber
13.65,3,17,Monday,Subscriber
16.17,3,17,Monday,Subscriber
3.63,3,17,Monday,Subscriber
18.07,3,17,Monday,Subscriber
19.5,3,17,Monday,Subscriber
10.07,3,17,Monday,Subscriber
9.1,3,17,Monday,Subscriber
18.0,3,17,Monday,Subscriber
18.33,3,17,Monday,Customer
4.42,3,17,Monday,Subscriber
42.5,3,17,Monday,Customer
15.7,3,17,Monday,Subscriber
25.95,3,17,Monday,Subscriber
1.73,3,17,Monday,Subscriber
12.57,3,17,Monday,Subscriber
6.73,3,17,Monday,Subscriber
14.1,3,16,Monday,Customer
23.73,3,16,Monday,Subscriber
7.32,3,16,Monday,Subscriber
6.93,3,16,Monday,Subscriber
12.58,3,16,Monday,Subscriber
9.57,3,16,Monday,Subscriber
5.55,3,16,Monday,Subscriber
11.83,3,16,Monday,Subscriber
32.68,3,16,Monday,Subscriber
27.63,3,15,Monday,Subscriber
9.65,3,15,Monday,Subscriber
5.67,3,15,Monday,Subscriber
2.02,3,15,Monday,Subscriber
13.97,3,14,Monday,Subscriber
11.28,3,14,Monday,Subscriber
23.67,3,14,Monday,Subscriber
2.67,3,14,Monday,Subscriber
