duration,month,hour,day_of_week,user_type
9.63,9,9,Wednesday,Subscriber
7.07,9,10,Wednesday,Subscriber
6.85,9,10,Wednesday,Subscriber
7.8,9,10,Wednesday,Subscriber
6.78,9,10,Wednesday,Subscriber
7.77,9,11,Wednesday,Subscriber
6.33,9,12,Wednesday,Subscriber
4.82,9,12,Wednesday,Subscriber
8.08,9,12,Wednesday,Subscriber
5.3,9,13,Wednesday,Subscriber
48.7,9,14,Wednesday,Subscriber
9.05,9,14,Wednesday,Subscriber
9.6,9,16,Wednesday,Subscriber
14.65,9,17,Wednesday,Subscriber
14.1,9,17,Wednesday,Subscriber
4.97,9,17,Wednesday,Subscriber
11.98,9,17,Wednesday,Subscriber
23.32,9,18,Wednesday,Subscriber
7.13,9,18,Wednesday,Subscriber
3.92,9,18,Wednesday,Subscriber
4.63,9,22,Wednesday,Subscriber
9.1,9,22,Wednesday,Subscriber
5.97,9,6,Thursday,Subscriber
8.63,9,6,Thursday,Subscriber
1.85,9,7,Thursday,Subscriber
5.18,9,8,Thursday,Subscriber
25.23,9,8,Thursday,Customer
2.9,9,8,Thursday,Subscriber
4.35,9,8,Thursday,Subscriber
8.35,9,8,Thursday,Subscriber
9.1,9,8,Thursday,Subscriber
10.95,9,9,Thursday,Subscriber
6.6,9,9,Thursday,Subscriber
7.88,9,9,Thursday,Subscriber
2.75,9,9,Thursday,Subscriber
6.38,9,10,Thursday,Subscriber
7.83,9,11,Thursday,Subscriber
18.22,9,14,Thursday,Subscriber
12.75,9,14,Thursday,Subscriber
12.5,9,15,Thursday,Subscriber
4.27,9,16,Thursday,Subscriber
8.57,9,16,Thursday,Subscriber
13.47,9,16,Thursday,Subscriber
15.15,9,16,Thursday,Subscriber
8.3,9,16,Thursday,Subscriber
15.12,9,16,Thursday,Subscriber
18.92,9,17,Thursday,Subscriber
13.62,9,17,Thursday,Customer
6.57,9,17,Thursday,Subscriber
11.22,9,17,Thursday,Subscriber
11.05,9,17,Thursday,Subscriber
13.6,9,18,Thursday,Subscriber
10.75,9,18,Thursday,Subscriber
4.47,9,23,Thursday,Subscriber
6.97,9,5,Friday,Subscriber
5.23,9,8,Friday,Subscriber
6.23,9,8,Friday,Subscriber
7.18,9,9,Friday,Subscriber
7.22,9,10,Friday,Subscriber
8.65,9,10,Friday,Subscriber
87.77,9,11,Friday,Customer
7.82,9,11,Friday,Subscriber
21.83,9,15,Friday,Subscriber
4.05,9,16,Friday,Subscriber
4.97,9,17,Friday,Subscriber
9.12,9,17,Friday,Subscriber
15.5,9,17,Friday,Subscriber
8.63,9,17,Friday,Subscriber
28.95,9,17,Friday,Customer
5.23,9,18,Friday,Subscriber
4.2,9,23,Friday,Subscriber
4.82,9,0,Saturday,Subscriber
20.3,9,5,Saturday,Subscriber
7.18,9,8,Saturday,Subscriber
233.6,9,11,Saturday,Customer
3.67,9,13,Saturday,Subscriber
12.98,9,13,Saturday,Customer
13.53,9,15,Saturday,Customer
23.77,9,16,Saturday,Customer
12.98,9,16,Saturday,Customer
6.03,9,18,Saturday,Subscriber
5.95,9,21,Saturday,Subscriber
356.42,9,2,Sunday,Customer
13.32,9,15,Sunday,Subscriber
11.05,9,15,Sunday,Customer
3.45,9,16,Sunday,Subscriber
221.42,9,17,Sunday,Customer
4.1,9,21,Sunday,Subscriber
6.98,9,4,Monday,Subscriber
7.3,9,6,Monday,Subscriber
7.25,9,7,Monday,Subscriber
5.13,9,7,Monday,Subscriber
4.55,9,7,Monday,Subscriber
12.15,9,8,Monday,Subscriber
9.4,9,8,Monday,Subscriber
9.27,9,9,Monday,Subscriber
6.55,9,9,Monday,Subscriber
17.75,9,10,Monday,Subscriber
5.53,9,10,Monday,Subscriber
4.45,9,12,Monday,Subscriber
2.08,9,13,Monday,Subscriber
57.4,9,14,Monday,Customer
9.23,9,14,Monday,Customer
14.65,9,15,Monday,Subscriber
8.87,9,16,Monday,Subscriber
15.97,9,16,Monday,Subscriber
10.48,9,17,Monday,Subscriber
7.97,9,17,Monday,Subscriber
6.62,9,17,Monday,Subscriber
62.57,9,18,Monday,Subscriber
6.98,9,18,Monday,Subscriber
8.55,9,21,Monday,Subscriber
8.72,9,7,Tuesday,Subscriber
5.83,9,8,Tuesday,Subscriber
7.03,9,8,Tuesday,Subscriber
11.23,9,8,Tuesday,Subscriber
7.63,9,8,Tuesday,Subscriber
7.48,9,8,Tuesday,Subscriber
4.58,9,9,Tuesday,Subscriber
6.25,9,9,Tuesday,Subscriber
4.7,9,9,Tuesday,Subscriber
5.93,9,11,Tuesday,Customer
26.75,9,11,Tuesday,Customer
3.5,9,12,Tuesday,Subscriber
5.32,9,14,Tuesday,Subscriber
27.9,9,14,Tuesday,Customer
10.38,9,15,Tuesday,Subscriber
3.93,9,15,Tuesday,Subscriber
14.55,9,16,Tuesday,Subscriber
