duration,month,hour,day_of_week,user_type
27.72,3,8,Thursday,Customer
18.98,3,8,Thursday,Subscriber
17.84,3,8,Thursday,Subscriber
6.77,3,8,Thursday,Subscriber
16.82,3,8,Thursday,Customer
7.97,3,8,Thursday,Subscriber
25.58,3,8,Thursday,Subscriber
5.32,3,8,Thursday,Subscriber
13.91,3,8,Thursday,Subscriber
2.65,3,8,Thursday,Subscriber
9.94,3,8,Thursday,Subscriber
9.79,3,8,Thursday,Subscriber
3.82,3,8,Thursday,Subscriber
24.24,3,8,Thursday,Customer
16.2,3,8,Thursday,Subscriber
10.8,3,8,Thursday,Subscriber
13.94,3,8,Thursday,Subscriber
21.82,3,8,Thursday,Subscriber
5.13,3,8,Thursday,Subscriber
26.93,3,8,Thursday,Customer
3.24,3,8,Thursday,Subscriber
25.56,3,8,Thursday,Subscriber
18.63,3,7,Thursday,Subscriber
10.49,3,7,Thursday,Customer
10.47,3,7,Thursday,Subscriber
4.85,3,7,Thursday,Subscriber
61.7,3,7,Thursday,Customer
14.77,3,7,Thursday,Subscriber
26.34,3,7,Thursday,Subscriber
12.62,3,7,Thursday,Subscriber
12.13,3,7,Thursday,Subscriber
1.72,3,7,Thursday,Subscriber
11.1,3,7,Thursday,Subscriber
9.06,3,7,Thursday,Subscriber
14.15,3,7,Thursday,Subscriber
16.94,3,7,Thursday,Subscriber
16.53,3,7,Thursday,Subscriber
4.21,3,7,Thursday,Subscriber
5.27,3,7,Thursday,Subscriber
19.81,3,7,Thursday,Subscriber
30.14,3,7,Thursday,Subscriber
10.75,3,6,Thursday,Subscriber
13.08,3,6,Thursday,Subscriber
2.49,3,6,Thursday,Subscriber
16.3,3,6,Thursday,Subscriber
10.82,3,6,Thursday,Subscriber
29.64,3,6,Thursday,Subscriber
14.94,3,6,Thursday,Subscriber
14.17,3,5,Thursday,Subscriber
7.54,3,5,Thursday,Subscriber
8.8,3,5,Thursday,Subscriber
8.41,3,1,Thursday,Subscriber
16.73,3,0,Thursday,Subscriber
9.14,3,23,Wednesday,Customer
1.02,3,23,Wednesday,Subscriber
7.98,3,23,Wednesday,Customer
9.23,3,22,Wednesday,Subscriber
5.94,3,22,Wednesday,Subscriber
8.05,3,22,Wednesday,Subscriber
4.08,3,22,Wednesday,Subscriber
10.36,3,21,Wednesday,Subscriber
15.08,3,21,Wednesday,Subscriber
5.07,3,21,Wednesday,Subscriber
2.22,3,21,Wednesday,Subscriber
17.12,3,21,Wednesday,Subscriber
6.7,3,21,Wednesday,Subscriber
3.3,3,21,Wednesday,Subscriber
6.03,3,21,Wednesday,Subscriber
6.4,3,20,Wednesday,Subscriber
7.29,3,20,Wednesday,Subscriber
13.57,3,20,Wednesday,Subscriber
8.17,3,20,Wednesday,Subscriber
8.1,3,20,Wednesday,Subscriber
8.38,3,20,Wednesday,Subscriber
9.94,3,20,Wednesday,Subscriber
4.55,3,20,Wednesday,Subscriber
19.81,3,20,Wednesday,Customer
17.28,3,20,Wednesday,Subscriber
54.18,3,20,Wednesday,Subscriber
2.87,3,20,Wednesday,Subscriber
6.89,3,19,Wednesday,Subscriber
7.76,3,19,Wednesday,Subscriber
7.56,3,19,Wednesday,Subscriber
5.58,3,19,Wednesday,Subscriber
11.99,3,19,Wednesday,Subscriber
14.46,3,19,Wednesday,Customer
24.15,3,19,Wednesday,Subscriber
8.27,3,19,Wednesday,Subscriber
3.87,3,19,Wednesday,Subscriber
54.19,3,19,Wednesday,Subscriber
15.65,3,19,Wednesday,Subscriber
10.09,3,19,Wednesday,Subscriber
18.76,3,19,Wednesday,Subscriber
6.9,3,19,Wednesday,Subscriber
14.08,3,18,Wednesday,Subscriber
4.75,3,18,Wednesday,Subscriber
13.44,3,18,Wednesday,Subscriber
2.51,3,18,Wednesday,Subscriber
3.08,3,18,Wednesday,Subscriber
11.39,3,18,Wednesday,Subscriber
85.39,3,18,Wednesday,Customer
55.35,3,18,Wednesday,Customer
22.8,3,18,Wednesday,Subscriber
17.98,3,18,Wednesday,Subscriber
3.94,3,18,Wednesday,Subscriber
5.45,3,18,Wednesday,Subscriber
16.6,3,18,Wednesday,Customer
13.1,3,18,Wednesday,Subscriber
20.39,3,18,Wednesday,Subscriber
6.74,3,18,Wednesday,Subscriber
12.48,3,18,Wednesday,Subscriber
26.94,3,18,Wednesday,Customer
6.44,3,18,Wednesday,Subscriber
7.63,3,18,Wednesday,Subscriber
5.52,3,18,Wednesday,Subscriber
23.04,3,18,Wednesday,Subscriber
8.96,3,18,Wednesday,Subscriber
44.67,3,18,Wednesday,Subscriber
9.3,3,18,Wednesday,Subscriber
8.78,3,18,Wednesday,Subscriber
5.25,3,18,Wednesday,Subscriber
16.28,3,18,Wednesday,Subscriber
4.72,3,18,Wednesday,Subscriber
10.29,3,18,Wednesday,Subscriber
14.47,3,18,Wednesday,Subscriber
2.58,3,18,Wednesday,Subscriber
15.53,3,17,Wednesday,Subscriber
7.11,3,17,Wednesday,Subscriber
23.25,3,17,Wednesday,Subscriber
26.54,3,17,Wednesday,Customer
27.79,3,17,Wednesday,Subscriber
9.93,3,17,Wednesday,Subscriber
22.6,3,17,Wednesday,Subscriber
23.5,3,17,Wednesday,Subscriber
7.82,3,17,Wednesday,Subscriber
5.36,3,17,Wednesday,Subscriber
5.01,3,17,Wednesday,Subscriber
7.38,3,17,Wednesday,Subscriber
24.76,3,17,Wednesday,Subscriber
8.52,3,17,Wednesday,Subscriber
30.33,3,17,Wednesday,Subscriber
53.14,3,17,Wednesday,Customer
5.14,3,17,Wednesday,Subscriber
8.96,3,17,Wednesday,Subscriber
3.97,3,17,Wednesday,Subscriber
8.11,3,17,Wednesday,Customer
11.01,3,17,Wednesday,Subscriber
8.8,3,17,Wednesday,Subscriber
15.22,3,17,Wednesday,Subscriber
3.66,3,17,Wednesday,Subscriber
7.45,3,17,Wednesday,Subscriber
11.08,3,17,Wednesday,Subscriber
4.62,3,17,Wednesday,Subscriber
19.74,3,17,Wednesday,Subscriber
7.46,3,17,Wednesday,Subscriber
125.13,3,17,Wednesday,Customer
8.21,3,17,Wednesday,Subscriber
8.37,3,17,Wednesday,Subscriber
7.58,3,16,Wednesday,Subscriber
4.57,3,16,Wednesday,Subscriber
17.04,3,16,Wednesday,Subscriber
99.35,3,16,Wednesday,Customer
8.16,3,16,Wednesday,Subscriber
12.63,3,16,Wednesday,Subscriber
9.35,3,16,Wednesday,Subscriber
12.12,3,16,Wednesday,Subscriber
5.23,3,16,Wednesday,Subscriber
38.27,3,16,Wednesday,Customer
13.59,3,16,Wednesday,Subscriber
24.41,3,16,Wednesday,Customer
11.55,3,16,Wednesday,Customer
4.74,3,16,Wednesday,Subscriber
33.36,3,16,Wednesday,Customer
11.25,3,16,Wednesday,Subscriber
18.16,3,16,Wednesday,Subscriber
2.95,3,16,Wednesday,Subscriber
12.45,3,16,Wednesday,Subscriber
6.51,3,15,Wednesday,Subscriber
20.93,3,15,Wednesday,Subscriber
52.11,3,15,Wednesday,Customer
5.81,3,15,Wednesday,Subscriber
18.24,3,15,Wednesday,Customer
59.08,3,15,Wednesday,Customer
6.78,3,15,Wednesday,Subscriber
19.79,3,15,Wednesday,Subscriber
3.96,3,15,Wednesday,Subscriber
7.97,3,15,Wednesday,Subscriber
46.55,3,14,Wednesday,Subscriber
27.06,3,14,Wednesday,Customer
8.39,3,14,Wednesday,Subscriber
23.68,3,14,Wednesday,Subscriber
61.62,3,14,Wednesday,Customer
20.42,3,14,Wednesday,Subscriber
27.0,3,14,Wednesday,Customer
6.13,3,14,Wednesday,Subscriber
29.84,3,13,Wednesday,Customer
16.11,3,13,Wednesday,Customer
28.0,3,13,Wednesday,Customer
5.74,3,13,Wednesday,Subscriber
36.03,3,13,Wednesday,Subscriber
22.21,3,13,Wednesday,Subscriber
18.23,3,13,Wednesday,Customer
3.79,3,13,Wednesday,Subscriber
2.83,3,13,Wednesday,Subscriber
89.86,3,13,Wednesday,Customer
5.13,3,13,Wednesday,Subscriber
53.66,3,13,Wednesday,Customer
16.76,3,13,Wednesday,Customer
6.68,3,13,Wednesday,Subscriber
20.98,3,13,Wednesday,Customer
13.58,3,12,Wednesday,Subscriber
17.9,3,12,Wednesday,Customer
6.84,3,12,Wednesday,Subscriber
2.2,3,12,Wednesday,Subscriber
25.13,3,12,Wednesday,Subscriber
6.04,3,12,Wednesday,Subscriber
6.77,3,12,Wednesday,Subscriber
3.12,3,12,Wednesday,Subscriber
6.45,3,12,Wednesday,Subscriber
28.99,3,12,Wednesday,Customer
10.42,3,12,Wednesday,Subscriber
7.52,3,12,Wednesday,Subscriber
12.69,3,12,Wednesday,Subscriber
61.08,3,11,Wednesday,Customer
17.7,3,11,Wednesday,Subscriber
195.38,3,11,Wednesday,Customer
132.78,3,11,Wednesday,Customer
93.53,3,11,Wednesday,Customer
156.49,3,11,Wednesday,Customer
4.74,3,10,Wednesday,Subscriber
6.14,3,10,Wednesday,Subscriber
39.08,3,10,Wednesday,Customer
27.99,3,10,Wednesday,Subscriber
7.52,3,9,Wednesday,Subscriber
15.79,3,9,Wednesday,Subscriber
8.19,3,9,Wednesday,Subscriber
11.76,3,9,Wednesday,Subscriber
3.3,3,9,Wednesday,Subscriber
5.54,3,9,Wednesday,Subscriber
13.75,3,8,Wednesday,Subscriber
6.05,3,8,Wednesday,Subscriber
7.59,3,8,Wednesday,Subscriber
18.01,3,8,Wednesday,Subscriber
15.48,3,8,Wednesday,Subscriber
1.65,3,8,Wednesday,Subscriber
6.64,3,8,Wednesday,Subscriber
5.75,3,8,Wednesday,Subscriber
7.65,3,8,Wednesday,Subscriber
24.16,3,8,Wednesday,Subscriber
8.63,3,8,Wednesday,Subscriber
23.85,3,8,Wednesday,Subscriber
10.34,3,8,Wednesday,Subscriber
39.19,3,8,Wednesday,Subscriber
14.01,3,8,Wednesday,Subscriber
13.35,3,8,Wednesday,Subscriber
6.34,3,8,Wednesday,Subscriber
6.91,3,8,Wednesday,Subscriber
3.24,3,8,Wednesday,Subscriber
14.7,3,8,Wednesday,Subscriber
7.82,3,8,Wednesday,Subscriber
17.18,3,8,Wednesday,Subscriber
3.83,3,8,Wednesday,Subscriber
1.81,3,8,Wednesday,Subscriber
10.59,3,7,Wednesday,Subscriber
12.51,3,7,Wednesday,Customer
13.0,3,7,Wednesday,Customer
3.11,3,7,Wednesday,Subscriber
13.01,3,7,Wednesday,Subscriber
6.83,3,7,Wednesday,Subscriber
3.71,3,7,Wednesday,Subscriber
14.53,3,7,Wednesday,Subscriber
12.76,3,7,Wednesday,Subscriber
10.02,3,7,Wednesday,Subscriber
8.33,3,7,Wednesday,Subscriber
5.24,3,7,Wednesday,Subscriber
15.34,3,7,Wednesday,Subscriber
9.66,3,7,Wednesday,Subscriber
4.24,3,7,Wednesday,Subscriber
2.56,3,7,Wednesday,Subscriber
4.61,3,7,Wednesday,Subscriber
4.74,3,7,Wednesday,Subscriber
20.87,3,7,Wednesday,Subscriber
4.53,3,7,Wednesday,Subscriber
14.7,3,6,Wednesday,Subscriber
18.07,3,6,Wednesday,Subscriber
8.8,3,6,Wednesday,Subscriber
24.37,3,6,Wednesday,Subscriber
2.97,3,6,Wednesday,Subscriber
15.79,3,6,Wednesday,Subscriber
14.57,3,5,Wednesday,Subscriber
16.05,3,3,Wednesday,Subscriber
8.73,3,23,Tuesday,Subscriber
10.2,3,22,Tuesday,Subscriber
11.46,3,22,Tuesday,Subscriber
6.53,3,21,Tuesday,Subscriber
9.88,3,21,Tuesday,Subscriber
18.28,3,21,Tuesday,Subscriber
18.11,3,21,Tuesday,Subscriber
21.74,3,21,Tuesday,Subscriber
5.84,3,20,Tuesday,Subscriber
22.05,3,20,Tuesday,Subscriber
4.45,3,20,Tuesday,Subscriber
18.87,3,20,Tuesday,Customer
6.07,3,20,Tuesday,Subscriber
11.29,3,20,Tuesday,Subscriber
22.21,3,19,Tuesday,Subscriber
16.62,3,19,Tuesday,Subscriber
7.92,3,19,Tuesday,Subscriber
14.09,3,19,Tuesday,Subscriber
9.31,3,19,Tuesday,Subscriber
9.41,3,19,Tuesday,Subscriber
4.25,3,19,Tuesday,Subscriber
4.62,3,19,Tuesday,Subscriber
7.6,3,19,Tuesday,Customer
55.92,3,19,Tuesday,Customer
9.51,3,19,Tuesday,Subscriber
13.53,3,18,Tuesday,Subscriber
9.48,3,18,Tuesday,Subscriber
12.24,3,18,Tuesday,Subscriber
8.2,3,18,Tuesday,Subscriber
2.5,3,18,Tuesday,Subscriber
10.35,3,18,Tuesday,Subscriber
5.36,3,18,Tuesday,Subscriber
7.48,3,18,Tuesday,Subscriber
14.09,3,18,Tuesday,Subscriber
7.41,3,18,Tuesday,Subscriber
27.06,3,18,Tuesday,Subscriber
2.3,3,18,Tuesday,Subscriber
3.22,3,18,Tuesday,Subscriber
5.92,3,18,Tuesday,Subscriber
7.44,3,18,Tuesday,Subscriber
6.35,3,18,Tuesday,Subscriber
50.21,3,18,Tuesday,Subscriber
6.77,3,18,Tuesday,Subscriber
41.72,3,18,Tuesday,Subscriber
15.82,3,18,Tuesday,Subscriber
10.6,3,18,Tuesday,Subscriber
4.77,3,18,Tuesday,Subscriber
20.25,3,17,Tuesday,Customer
30.01,3,17,Tuesday,Subscriber
11.27,3,17,Tuesday,Subscriber
5.13,3,17,Tuesday,Subscriber
6.37,3,17,Tuesday,Subscriber
16.85,3,17,Tuesday,Customer
14.8,3,17,Tuesday,Subscriber
21.4,3,17,Tuesday,Customer
12.6,3,17,Tuesday,Subscriber
15.39,3,17,Tuesday,Subscriber
24.18,3,17,Tuesday,Subscriber
2.76,3,17,Tuesday,Subscriber
6.71,3,17,Tuesday,Subscriber
15.47,3,17,Tuesday,Subscriber
9.1,3,17,Tuesday,Subscriber
2.29,3,17,Tuesday,Subscriber
11.38,3,17,Tuesday,Subscriber
9.82,3,17,Tuesday,Subscriber
11.01,3,17,Tuesday,Subscriber
13.27,3,17,Tuesday,Subscriber
22.66,3,17,Tuesday,Subscriber
6.36,3,17,Tuesday,Subscriber
8.04,3,17,Tuesday,Subscriber
62.19,3,17,Tuesday,Customer
7.38,3,17,Tuesday,Subscriber
16.24,3,17,Tuesday,Customer
6.66,3,17,Tuesday,Subscriber
3.2,3,17,Tuesday,Subscriber
5.01,3,17,Tuesday,Subscriber
10.08,3,17,Tuesday,Subscriber
13.32,3,17,Tuesday,Subscriber
27.75,3,17,Tuesday,Customer
4.02,3,17,Tuesday,Subscriber
6.57,3,17,Tuesday,Subscriber
15.34,3,17,Tuesday,Subscriber
12.68,3,17,Tuesday,Subscriber
8.31,3,16,Tuesday,Subscriber
6.32,3,16,Tuesday,Subscriber
3.7,3,16,Tuesday,Subscriber
24.69,3,16,Tuesday,Customer
49.07,3,16,Tuesday,Customer
8.28,3,16,Tuesday,Subscriber
4.65,3,16,Tuesday,Subscriber
13.33,3,16,Tuesday,Subscriber
10.93,3,16,Tuesday,Subscriber
4.47,3,16,Tuesday,Subscriber
3.07,3,16,Tuesday,Subscriber
15.97,3,16,Tuesday,Customer
17.92,3,16,Tuesday,Subscriber
9.2,3,16,Tuesday,Subscriber
4.85,3,16,Tuesday,Subscriber
9.64,3,16,Tuesday,Subscriber
8.29,3,15,Tuesday,Subscriber
24.84,3,15,Tuesday,Subscriber
8.21,3,15,Tuesday,Customer
15.6,3,15,Tuesday,Subscriber
48.4,3,15,Tuesday,Customer
11.0,3,15,Tuesday,Subscriber
15.57,3,15,Tuesday,Subscriber
27.69,3,15,Tuesday,Customer
28.3,3,15,Tuesday,Customer
11.43,3,15,Tuesday,Customer
5.57,3,14,Tuesday,Subscriber
6.07,3,14,Tuesday,Subscriber
144.81,3,14,Tuesday,Customer
136.25,3,14,Tuesday,Customer
6.79,3,14,Tuesday,Subscriber
14.45,3,14,Tuesday,Subscriber
23.16,3,14,Tuesday,Subscriber
155.39,3,14,Tuesday,Customer
26.49,3,14,Tuesday,Customer
57.33,3,14,Tuesday,Customer
4.9,3,13,Tuesday,Subscriber
14.17,3,13,Tuesday,Subscriber
6.51,3,13,Tuesday,Subscriber
